Word,Level
suggestion,A2
suit,B1
support,A2
suppose,A2
sure,A1
surprise,A2
surprised,A2
surprising,A2
survey,B2
sweet,A2
symbol,A2
system,A2
tablet,A2
talk,A1
target,B2
task,A2
taste,A2
teaching,A2
technology,A2
teenage,A2
temperature,A2
term,B2
text,A1
themselves,A2
thick,A2
thief,A2
thin,A2
thinking,A2
third,A1
thought,A2
throw,A2
tidy,A2
tool,A2
touch,B1
tour,B1
tourism,A2
towards,A2
towel,A2
tower,A2
track,B2
tradition,A2
traditional,A2
train,A1
trainer,A2
training,A2
transport,B1
traveller,A2
trouble,B2
truck,A2
twin,A2
typical,A2
underground,A2
understanding,A2
unfortunately,A2
unhappy,A2
uniform,A2
unit,A1
united,A2
unusual,A2
upstairs,A1
usedto,A2
user,A2
usual,A2
valley,A2
variety,A2
vehicle,A2
view,B1
virus,A2
voice,A2
wait,A1
wash,A1
washing,A2
wave,B1
weak,A2
wedding,A2
weight,A2
welcome,A1
wheel,A2
while,B1
whole,B1
whose,A2
wide,A2
wild,A2
wind,B2
winner,A2
wish,A2
wood,B1
wooden,A2
working,A2
worried,A2
worry,B1
worse,B1
worst,B1
yours,A2
zero,A2
aan,A1
about,A1
above,A1
across,A1
action,A1
activity,A1
actor,A1
actress,A1
add,A1
address,B2
advice,A1
afraid,A1
afternoon,A1
again,A1
age,A1
ago,A1
agree,A1
air,A1
airport,A1
all,A1
also,A1
always,A1
amazing,A1
and,A1
angry,A1
another,A1
answer,A1
any,A1
anyone,A1
anything,A1
apartment,A1
apple,A1
April,A1
area,A1
arm,A1
around,A1
arrive,A1
art,A1
article,A1
artist,A1
as,A1
ask,A1
at,A1
August,A1
aunt,A1
autumn,A1
away,A1
baby,A1
bad,A1
bag,A1
ball,A1
banana,A1
band,A1
bank,B1
money,A1
bath,A1
bathroom,A1
be,A1
beach,A1
beautiful,A1
because,A1
become,A1
bed,A1
bedroom,A1
beer,A1
begin,A1
beginning,A1
behind,A1
believe,A1
below,A1
bicycle,A1
big,A1
bike,A1
bill,B2
bird,A1
birthday,A1
black,A1
blog,A1
blonde,A1
blue,A1
boat,A1
body,A1
boot,A1
bored,A1
boring,A1
born,A1
both,A1
bottle,A1
box,A1
boy,A1
boyfriend,A1
bread,A1
break,A1
breakfast,A1
bring,A1
brother,A1
brown,A1
build,A1
building,A1
bus,A1
business,A1
busy,A1
but,A1
butter,A1
buy,A1
by,A1
bye,A1
cafe,A1
cake,A1
call,A1
camera,A1
can,A1
cannot,A1
capital,A1
car,A1
card,A1
career,A1
carrot,A1
carry,A1
cat,A1
CD,A1
cent,A1
centre,B1
century,A1
chair,B2
change,A1
chart,B2
cheap,B1
cheese,A1
chicken,A1
child,A1
chocolate,A1
choose,A1
cinema,A1
city,A1
class,A1
classroom,A1
clean,A1
climb,B1
clock,A1
clothes,A1
club,A1
coat,A1
coffee,A1
cold,A1
college,A1
colour,A1
come,A1
common,A1
company,A1
compare,A1
complete,A1
computer,A1
concert,A1
conversation,A1
cooking,A1
cool,B1
correct,A1
cost,A1
could,A1
country,A1
course,A1
cousin,A1
cow,A1
cream,B1
create,A1
culture,A1
cup,A1
customer,A1
cut,A1
dad,A1
dance,A1
dancer,A1
dancing,A1
dangerous,A1
date,B2
daughter,A1
day,A1
December,A1
decide,A1
delicious,A1
describe,A1
description,A1
design,A1
desk,A1
detail,B2
dialogue,A1
dictionary,A1
die,A1
diet,A1
difference,A1
different,A1
difficult,A1
dinner,A1
dirty,A1
discuss,A1
dish,A1
do,A1
doctor,A1
dog,A1
dollar,A1
door,A1
down,A1
draw,A1
dress,A1
drink,A1
driver,A1
during,A1
DVD,A1
each,A1
ear,A1
early,A1
east,A1
easy,A1
eat,A1
egg,A1
eight,A1
eighteen,A1
eighty,A1
elephant,A1
eleven,A1
else,A1
email,A1
end,A1
enjoy,A1
enough,A1
euro,A1
even,B2
evening,A1
event,A1
ever,A1
every,A1
everybody,A1
everyone,A1
everything,A1
exam,A1
example,A1
excited,A1
exciting,A1
exercise,A1
expensive,A1
explain,A1
extra,B1
eye,A1
face,B1
fact,A1
false,A1
family,A1
famous,A1
fantastic,A1
far,A1
farmer,A1
fast,A1
fat,A1
father,A1
favourite,A1
February,A1
feel,B2
feeling,A1
festival,A1
few,A1
fifteen,A1
fifth,A1
fifty,A1
fill,A1
find,B1
fine,A1
fire,B1
five,A1
flight,A1
floor,A1
flower,A1
fly,A1
follow,A1
food,A1
foot,A1
football,A1
for,A1
forget,A1
form,A1
forty,A1
four,A1
fourteen,A1
fourth,A1
Friday,A1
friend,A1
friendly,A1
front,A1
fruit,A1
full,A1
fun,A1
funny,A1
game,A1
garden,A1
geography,A1
get,A1
girl,A1
girlfriend,A1
give,A1
glass,A1
go,A1
goodbye,A1
grandfather,A1
grandmother,A1
grandparent,A1
great,A1
green,A1
grey,A1
group,B1
grow,A1
guess,A1
guitar,A1
gym,A1
hair,A1
hand,B1
happen,A1
happy,A1
hard,A1
hat,A1
hate,B1
haveto,A1
he,A1
head,B1
health,A1
healthy,A1
hear,A1
hello,A1
help,A1
her,A1
here,A1
hey,A1
hi,A1
him,A1
his,A1
history,A1
hobby,A1
holiday,A1
homework,A1
horse,A1
hospital,A1
hot,A1
hotel,A1
hour,A1
house,B2
how,A1
however,A1
hundred,A1
hungry,A1
husband,A1
I,A1
ice,A1
icecream,A1
idea,A1
if,A1
imagine,A1
important,A1
improve,A1
in,A1
include,A1
information,A1
interest,A1
interested,A1
interesting,A1
internet,A1
interview,A1
into,A1
introduce,A1
island,A1
it,A1
its,A1
jacket,A1
January,A1
jeans,A1
job,A1
join,A1
journey,A1
juice,A1
July,A1
June,A1
just,C1
keep,A1
key,A1
kilometre,A1
kind,B1
type,B1
kitchen,A1
